,min_train,max_train,min_exp,max_exp
angular_velocity_x,-1.0109416246414185,0.7497903108596802,-1.0109416246414185,0.7497903108596802
angular_velocity_y,-0.6245332360267639,1.2878812551498413,-0.6245332360267639,1.2878812551498413
angular_velocity_z,-2.6729660034179688,2.065410852432251,-2.6729660034179688,2.065410852432251
linear_acceleration_x,-6.0,0.29351806640625,-6.0,0.29351806640625
linear_acceleration_y,-2.789794921875,1.47052001953125,-1.72869873046875,1.317626953125
linear_acceleration_z,0.2618408203125,2.8970947265625,0.4383544921875,2.85791015625
left_hip_vel,-1.4600000381469729,2.650000095367432,-1.4600000381469729,2.650000095367432
left_hip_iq,-12.68000030517578,6.519999980926514,-12.68000030517578,6.369999885559082
left_knee_vel,-2.119999885559082,2.140000104904175,-2.119999885559082,2.140000104904175
left_knee_iq,-17.31999969482422,2.7300000190734863,-17.31999969482422,2.7300000190734863
left_wheel_vel,-13.6899995803833,22.39999961853028,-11.149999618530272,22.39999961853028
left_wheel_iq,-10.510000228881836,14.81999969482422,-10.350000381469728,14.81999969482422
right_hip_vel,-1.3899999856948853,2.970000028610229,-1.3899999856948853,2.970000028610229
right_hip_iq,-12.989999771118164,5.369999885559082,-12.989999771118164,5.369999885559082
right_knee_vel,-1.1200000047683716,1.2599999904632568,-1.1200000047683716,1.2599999904632568
right_knee_iq,-12.779999732971191,4.019999980926514,-12.779999732971191,4.019999980926514
right_wheel_vel,-13.9399995803833,22.799999237060547,-12.850000381469728,22.799999237060547
right_wheel_iq,-12.18000030517578,14.449999809265137,-12.18000030517578,14.449999809265137
left_leg_length,0.2254201024770736,0.268705278635025,0.0448292195796966,0.268705278635025
right_leg_length,0.2422907054424286,0.2712954878807068,0.0503476411104202,0.2712954878807068
roll,-0.052834459539036,0.0563727293659398,-0.052834459539036,0.0563727293659398
pitch,-0.3660083277931262,0.2954651194418276,-0.3660083277931262,0.2954651194418276
yaw,-3.1289282964806966,3.138123532808967,-2.940517219275228,2.3465074632204512
cmd_forward,-1.0,1.0,0.0,0.8
cmd_left,-1.0,1.0,0.0,0.0
